Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description
playstation-5-disc-console-slim--1tb,PlayStation 5 Disc Console Slim -1TB,"The PlayStation®5 Console – 1TB redefines gaming possibilities with its powerful hardware and advanced features. Experience ultra-high-speed performance with its SSD, offering lightning-fast load times and seamless gameplay. The PS5® supports haptic feedback, adaptive triggers, and 3D Audio2 technology, immersing you in new adventures. It comes with a sleek design, and the ability to play your favorite PS5® and PS4® games. With 1TB of storage, have all your games ready at your fingertips. The vertical stand is sold separately.",Sony,Gaming Console,"PlayStation, PS5, Console, Gaming, Walmart",TRUE,Title,Default Title,,,,,17816601985,4500,shopify,10,deny,manual,449.0,549.99,TRUE,TRUE,https://i5.walmartimages.com/asr/bc6e8a20-103f-4f0a-9e11-c45711f6c4b4.f53e991ab8b186200e4d3f4707a0a146.png?odnHeight=450&odnWidth=450&odnBg=ffffff,1,PlayStation 5 Disc Console Slim -1TB,FALSE,PlayStation 5 Disc Console Slim -1TB,"The PlayStation®5 Console – 1TB redefines gaming possibilities with its powerful hardware and advanced features. Experience ultra-high-speed performance with its SSD, offering lightning-fast load times and seamless gameplay. The PS5® supports haptic feedback, adaptive triggers, and 3D Audio2 technology, immersing you i"
sony-playstation-5-video-game-console,Sony PlayStation 5 Video Game Console,"The PS5™ console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio*, and an all-new generation of incredible PlayStation® games.",Sony,Gaming Console,"PlayStation, PS5, Console, Gaming, Walmart",TRUE,Title,Default Title,,,,,1736740710,4500,shopify,10,deny,manual,503.99,499.99,TRUE,TRUE,https://i5.walmartimages.com/asr/9333b8cd-773e-49d4-8e85-51c4114fcd56.bbf5c4e4f3746ddc28ac982117cdbf9a.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,1,Sony PlayStation 5 Video Game Console,FALSE,Sony PlayStation 5 Video Game Console,"The PS5™ console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio*, and an all-new generation of incredible PlayStation® games."
sony-playstation-5-pro-console-ps5-pro,Sony PlayStation 5 Pro Console (PS5 Pro),"With the PlayStation®5 Pro console, the world’s greatest game creators can enhance their games with incredible features like advanced ray tracing, super sharp image clarity for your 4K TV, and high frame rate gameplay.* That means you get to play PS5 games with the most impressive visuals ever possible on a PlayStation console, and with 2TB of SSD storage included, your favorite games will be ready and waiting for you to jump right in for your next awesome adventure. PS5 Pro is an all-digital console with no disc drive. Sign into your account for PlayStation Network and go to PlayStation Store to buy and download games. You can also add a Disc Drive to your PS5 Pro console if you would like to play PS5 or PS4 games on Blu-ray Disc, or if you want to watch movies and shows on 4K Ultra HD Blu-ray Discs, Blu-ray Discs, and DVDs. The compatible Disc Drive is sold separately. *Features only available on select PS5 games that have been enhanced for PS5 Pro when compared with PS5. PS5 Pro enhanced features will vary by game.",Sony,Gaming Console,"PlayStation, PS5, Console, Gaming, Walmart",TRUE,Title,Default Title,,,,,18235967161,4500,shopify,10,deny,manual,859.99,699.0,TRUE,TRUE,https://i5.walmartimages.com/asr/4d0b2f4c-4d75-453f-99d9-47d2ee4460fb.22c0c50a6e80e0fb409944fbb789b3ca.png?odnHeight=450&odnWidth=450&odnBg=ffffff,1,Sony PlayStation 5 Pro Console (PS5 Pro),FALSE,Sony PlayStation 5 Pro Console (PS5 Pro),"With the PlayStation®5 Pro console, the world’s greatest game creators can enhance their games with incredible features like advanced ray tracing, super sharp image clarity for your 4K TV, and high frame rate gameplay.* That means you get to play PS5 games with the most impressive visuals ever possible on a PlayStation"
playstation-5-digital-edition-call-of-duty-black-ops-6,PlayStation 5 Digital Edition – Call of Duty: Black Ops 6,"Take your skills to the next level with the PS5® console - Call of Duty®: Black Ops 6 Bundle. Experience lightning-fast loading, stunning 4K graphics and breathtaking immersive features with PS5. Call of Duty: Black Ops 6 has been optimized for PlayStation 5 with reduced loading times*, stunning 4K visuals, adaptive triggers and haptic feedback support. *compared to PS4. --- PlayStation 5 Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio2, and an all-new generation of incredible PlayStation® games. PS5® Digital Edition is an all-digital version of the PS5® console with no disc drive. Sign into your account for PlayStation™Network and go to PlayStation™Store to buy and download games.1 Lightning Speed Harness the power of a custom CPU, GPU, and SSD with Integrated I/O that rewrite the rules of what a PlayStation® console can do. Stunning Games Marvel at incredible graphics and experience new PS5® features. Play a back catalog of supported PS4® games. Breathtaking Immersion Discover a deeper gaming experience with support for haptic feedback, adaptive triggers, and 3D Audio2 technology. Vertical stand sold separately. *PS5® console (CFI-2000 model group – slim) Account for PlayStation™Network required. Full terms apply – playstation.com/PSNTerms. 3D audio via built-in TV speakers or analog/USB stereo headphones. Set up and latest system software update required.",Sony,Gaming Console,"PlayStation, PS5, Console, Gaming, Walmart",TRUE,Title,Default Title,,,,,16184301720,4500,shopify,10,deny,manual,529.99,502.93,TRUE,TRUE,https://i5.walmartimages.com/asr/e31b87a0-9e44-4a93-967b-6204634c7ac2.e6918d38250997e03fa33e3d6aa9c728.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,1,PlayStation 5 Digital Edition – Call of Duty: Black Ops 6,FALSE,PlayStation 5 Digital Edition – Call of Duty: Black Ops 6,"Take your skills to the next level with the PS5® console - Call of Duty®: Black Ops 6 Bundle. Experience lightning-fast loading, stunning 4K graphics and breathtaking immersive features with PS5. Call of Duty: Black Ops 6 has been optimized for PlayStation 5 with reduced loading times*, stunning 4K visuals, adaptive tr"
playstation-5-disc-console-slim-with-nba-2k26,PlayStation 5 Disc Console Slim with NBA 2K26,"BALL OVER EVERYTHING with the PlayStation®5 Console – NBA 2K26 Bundle. Play NBA 2K26 with PS5 innovations including 4K and HDR visuals*, haptic feedback with the DualSense® wireless controller, and incredible speed with the PS5’s SSD. * 4K and HDR require a 4K and HDR compatible TV or display.",Sony,Gaming Console,"PlayStation, PS5, Console, Gaming, Walmart",TRUE,Title,Default Title,,,,,17578856347,4500,shopify,10,deny,manual,664.99,549.99,TRUE,TRUE,https://i5.walmartimages.com/asr/87c5a45e-8b55-4640-b6b8-b3372f88aadc.acae32f1792cc4855199ab1164a0cb6b.png?odnHeight=450&odnWidth=450&odnBg=ffffff,1,PlayStation 5 Disc Console Slim with NBA 2K26,FALSE,PlayStation 5 Disc Console Slim with NBA 2K26,"BALL OVER EVERYTHING with the PlayStation®5 Console – NBA 2K26 Bundle. Play NBA 2K26 with PS5 innovations including 4K and HDR visuals*, haptic feedback with the DualSense® wireless controller, and incredible speed with the PS5’s SSD. * 4K and HDR require a 4K and HDR compatible TV or display."
sony-playstation-5-digital-edition-video-game-consoles,"Sony PlayStation 5, Digital Edition Video Game Consoles","Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio**, and an all-new generation of incredible PlayStation® games. PS5™ Digital Edition is an all-digital version of the PS5™ console with no disc drive. Sign into your account for PlayStation Network and go to PlayStation®Store to buy and download games.",Sony,Gaming Console,"PlayStation, PS5, Console, Gaming, Walmart",TRUE,Title,Default Title,,,,,1601982539,4500,shopify,10,deny,manual,479.99,544.95,TRUE,TRUE,https://i5.walmartimages.com/asr/64fcc5b6-a314-4659-996d-ae0b58dacb66.30b4574ad588620cc9fba6b6304c8077.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,1,"Sony PlayStation 5, Digital Edition Video Game Consoles",FALSE,"Sony PlayStation 5, Digital Edition Video Game Consoles","Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio**, and an all-new generation of incredible PlayStation® games. PS5™ Digital Edition is an all-digital version of the PS5™ console with no disc drive. Sign into your account "
playstation-5-digital-edition---30th-anniversary-limited-edition,PlayStation 5 Digital Edition - 30th Anniversary Limited Edition,"PS5 Digital Edition – 30th Anniversary Limited Edition Bundle Celebrate the 30th Anniversary of the original PlayStation console with the PS5 Digital Edition – 30th Anniversary Limited Edition Bundle. This bundle comes packed with a special version of the PS5 Digital Edition console, and awesome accessories, that feature throwback design elements and a legacy color scheme that pays homage to the legendary original PlayStation console, which launched on December 3rd 1994. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio3, and an all-new generation of incredible PlayStation games. PS5 Digital Edition is an all-digital version of the PS5® console with no disc drive. Sign into your account for PlayStation Network and go to PlayStation Store to buy and download games.2",Sony,Gaming Console,"PlayStation, PS5, Console, Gaming, Walmart",TRUE,Title,Default Title,,,,,12283761453,4500,shopify,10,deny,manual,809.99,849.0,TRUE,TRUE,https://i5.walmartimages.com/asr/c62e2e96-fc3f-4341-b80e-3ba52007ade6.01593ec9d1d6d77739b3370eac02db6d.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,1,PlayStation 5 Digital Edition - 30th Anniversary Limited Edition,FALSE,PlayStation 5 Digital Edition - 30th Anniversary Limited Edition,"PS5 Digital Edition – 30th Anniversary Limited Edition Bundle Celebrate the 30th Anniversary of the original PlayStation console with the PS5 Digital Edition – 30th Anniversary Limited Edition Bundle. This bundle comes packed with a special version of the PS5 Digital Edition console, and awesome accessories, that featu"
playstation-5-disc-edition-call-of-duty-black-ops-6,PlayStation 5 Disc Edition – Call of Duty: Black Ops 6,"Take your skills to the next level with the PS5® console - Call of Duty®: Black Ops 6 Bundle. Experience lightning-fast loading, stunning 4K graphics and breathtaking immersive features with PS5. Call of Duty: Black Ops 6 has been optimized for PlayStation 5 with reduced loading times*, stunning 4K visuals, adaptive triggers and haptic feedback support. *compared to PS4. PlayStation 5 Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio2, and an all-new generation of incredible PlayStation® games. Lightning Speed Harness the power of a custom CPU, GPU, and SSD with Integrated I/O that rewrite the rules of what a PlayStation® console can do. Stunning Games Marvel at incredible graphics and experience new PS5® features. Play a back catalog of supported PS4® games. Breathtaking Immersion Discover a deeper gaming experience with support for haptic feedback, adaptive triggers, and 3D Audio technology. Vertical stand sold separately. *PS5® console (CFI-2000 model group – slim) 3D audio via built-in TV speakers or analog/USB stereo headphones. Set up and latest system software update required. Internet connection required to pair Disc Drive and PS5® console upon setup.",Sony,Gaming Console,"PlayStation, PS5, Console, Gaming, Walmart",TRUE,Title,Default Title,,,,,16238415107,4500,shopify,10,deny,manual,579.99,579.99,TRUE,TRUE,https://i5.walmartimages.com/asr/f5676653-c592-47ca-8e1c-5189a04a6142.868d780e6ed4cf0349b5506772063c44.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,1,PlayStation 5 Disc Edition – Call of Duty: Black Ops 6,FALSE,PlayStation 5 Disc Edition – Call of Duty: Black Ops 6,"Take your skills to the next level with the PS5® console - Call of Duty®: Black Ops 6 Bundle. Experience lightning-fast loading, stunning 4K graphics and breathtaking immersive features with PS5. Call of Duty: Black Ops 6 has been optimized for PlayStation 5 with reduced loading times*, stunning 4K visuals, adaptive tr"
tec-sony-playstationps5-video-game-console-digital-edition--playstation---5,TEC Sony PlayStation_PS5 Video Game Console (Digital Edition)- PlayStation - 5,"TEC New Sony PlayStation_PS5 Video Game Console (Digital Edition) with God of War (GOW) Ragnarö K Bundle -PlayStation - 5. This console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio*, and an all-new generation of incredible PlayStation® games. Lightning Speed Harness the power of a custom CPU, GPU, and SSD with Integrated I/O that rewrite the rules of what a PlayStation® console can do. Stunning Games: Marvel at incredible graphics and experience new features. Breathtaking Immersion Discover a deeper gaming experience with support for haptic feedback, adaptive triggers, and 3D Audio technology.",Sony,Gaming Console,"PlayStation, PS5, Console, Gaming, Walmart",TRUE,Title,Default Title,,,,,447565750,4500,shopify,10,deny,manual,486.9,549.0,TRUE,TRUE,https://i5.walmartimages.com/asr/aa161257-c410-418e-b5cc-bb63f5dda0ce.5bd50a4b73ef9175a78f6ec079419229.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,1,TEC Sony PlayStation_PS5 Video Game Console (Digital Edition)- PlayStation - 5,FALSE,TEC Sony PlayStation_PS5 Video Game Console (Digital Edition)- PlayStation - 5,"TEC New Sony PlayStation_PS5 Video Game Console (Digital Edition) with God of War (GOW) Ragnarö K Bundle -PlayStation - 5. This console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adapti"
playstation-5-digital-edition-fortnite-cobalt-star-bundle,PlayStation 5 Digital Edition – Fortnite Cobalt Star Bundle,"Upgrade your Fortnite experience with the PS5® Digital Edition - Fortnite® Cobalt Star Bundle. The Bundle includes an Outfit, Back Bling, Pickaxe, Wrap, Drum Instrument, Boost, Wheels, Trail and 1,000 V-Bucks! Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation® games. Marvel at incredible graphics and experience new PS5® features. Play a back catalog of supported PS4® games.",Sony,Gaming Console,"PlayStation, PS5, Console, Gaming, Walmart",TRUE,Title,Default Title,,,,,12935958669,4500,shopify,10,deny,manual,529.99,,TRUE,TRUE,https://i5.walmartimages.com/asr/09962a63-422c-4338-acc2-cab60823dfa5.5b3fc59aca310d5b9c5ae752cdadbe35.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,1,PlayStation 5 Digital Edition – Fortnite Cobalt Star Bundle,FALSE,PlayStation 5 Digital Edition – Fortnite Cobalt Star Bundle,"Upgrade your Fortnite experience with the PS5® Digital Edition - Fortnite® Cobalt Star Bundle. The Bundle includes an Outfit, Back Bling, Pickaxe, Wrap, Drum Instrument, Boost, Wheels, Trail and 1,000 V-Bucks! Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedb"
